program|semester|course|topic|prerequisites|why
BS-AI|1|Programming Fundamental|Introduction to Programming Concepts|Basic computer usage, Logical reasoning, Flow of execution|This module builds the foundational mental model for how code is executed by a computer's processor, enabling subsequent problem-solving skills.
BS-AI|1|Programming Fundamental|Algorithms & Flowcharts|Logical reasoning, Basic math, Step-by-step thinking|These skills are fundamental for designing efficient solutions; they are used in every AI model structure and complex data processing task.
BS-AI|1|Programming Fundamental|Data Types & Variables|Understanding of numbers, Characters, Memory concept|Essential for handling different types of data correctly and efficiently managing memory allocation.
BS-AI|1|Programming Fundamental|Operators & Expressions|Math operations, Precedence, Logic operations|These are the core tools for all computation and comparison logic used within conditional statements and algorithms.
BS-AI|1|Programming Fundamental|Input/Output Operations|Basic command-line use, Syntax awareness|This is the foundation for user-program interaction, allowing programs to receive data and display meaningful results back to the user.
BS-AI|1|Programming Fundamental|Conditional Statements (if, else, switch)|Boolean logic (true/false), Comparison symbols|These structures are the core of decision-making in code; they enable programs to follow different execution paths based on specific conditions, vital for control flow.
BS-AI|1|Programming Fundamental|Loops (for, while, do-while)|Repetition concept, Counters, Arithmetic logic|Loops are essential for running algorithms, performing repetitive calculations, and executing simulations multiple times efficiently.
BS-AI|1|Programming Fundamental|Functions & Modular Programming|Problem decomposition, Parameters, Return types|This practice is crucial for AI code reusability and breaking large problems into smaller, manageable, and testable units of code.
BS-AI|1|Programming Fundamental|Arrays & Strings|Sequential data, Indexing|These are fundamental data structures used for handling ordered collections of data like datasets, lists of text, and numeric processing.
BS-AI|1|Programming Fundamental|Introduction to Pointers / Memory Concepts|Data Types & Variables, Memory Management Concepts|This concept is essential for efficiently managing memory access in programming, which is critical for Data Structures and Operating Systems courses.
BS-AI|1|Programming Fundamental|File Handling|Concept of permanent data storage|This module teaches how to read from and write to permanent storage; it's used directly in training model data import and result export.
BS-AI|1|Programming Fundamental|Bitwise Operators & Masks|Data Representation & Number Systems, Boolean Algebra|These operators are essential for low-level memory manipulation, setting flags, and achieving performance optimization in specific tasks.
BS-AI|1|Programming Fundamental|Recursion: Principles and Execution Flow|Functions & Modular Programming, Stacks and Queues|Recursion is the core technique for solving many divide-and-conquer algorithms and is foundational for AI tree search methods.
BS-AI|1|Programming Fundamental|Error Handling & Debugging Techniques|Conditional Statements (if, else, switch), Input/Output Operations|These skills are crucial for diagnosing issues, building stable and reliable AI applications, and ensuring code quality in production.
BS-AI|1|Programming Fundamental|Preprocessor Directives & Macros|Operators & Expressions, File Handling|This allows for conditional compilation and code substitution, which is needed for system-level programming and cross-platform library integration.
BS-AI|1|Programming Fundamental|Structures and Unions (C/C++ focus)|Data Types & Variables, Introduction to Pointers / Memory Concepts|These constructs are fundamental for creating complex, custom data structures that group related information under a single name.
BS-AI|1|Programming Fundamental|Code Efficiency and Complexity (Basic Intro)|Algorithms & Flowcharts, Loops (for, while, do-while)|This introduces initial concepts of execution time and space usage, which are vital for choosing the right algorithms in performance-critical AI systems.
BS-AI|1|Programming Fundamental|Libraries and Header Files Usage|Functions & Modular Programming, Input/Output Operations|Teaches how to leverage pre-written code modules efficiently, saving time and avoiding reinventing common functionalities.
BS-AI|1|Programming Fundamental|Type Casting and Conversion|Data Types & Variables, Operators & Expressions|Necessary for converting data from one type to another safely, crucial when dealing with mixed data operations.
BS-AI|1|Programming Fundamental|Debugging Tools and Techniques (IDE-based)|Error Handling & Debugging Techniques, Conditional Statements (if, else, switch)|Provides practical skills using modern development environments to efficiently find, isolate, and fix runtime and logical errors in code.
BS-AI|1|Programming Fundamental|Scope and Lifetime of Variables|Functions & Modular Programming, Data Types & Variables|Understanding where variables are accessible and how long they persist is key to avoiding errors and managing memory correctly.
BS-AI|1|Programming Fundamental|Basic computer usage|None|This is the fundamental prerequisite topic for all computer-related courses, including programming and IT applications.
BS-AI|1|Programming Fundamental|Logical reasoning|None|Critical skill required before learning algorithms and complex problem-solving techniques in any programming course.
BS-AI|1|Programming Fundamental|Flow of execution|Logical reasoning|Understanding the step-by-step processing order is essential for writing effective code and debugging.
BS-AI|1|Programming Fundamental|Step-by-step thinking|Logical reasoning|Fundamental method for breaking down problems into manageable, sequential tasks.
BS-AI|1|Programming Fundamental|Basic math|None|Basic arithmetic operations and numerical concepts essential for computer science.
BS-AI|1|Programming Fundamental|Understanding of numbers|Data Types & Variables|Grasping the concept of numerical values and their representation in computation.
BS-AI|1|Programming Fundamental|Characters|Data Types & Variables|Understanding textual data and character encoding (e.g., ASCII).
BS-AI|1|Programming Fundamental|Memory concept|Data Types & Variables|Basic understanding of how data is stored and accessed in a computer's RAM.
BS-AI|1|Programming Fundamental|Math operations|None|Basic arithmetic functions (addition, subtraction, etc.) used in expressions.
BS-AI|1|Programming Fundamental|Precedence|Operators & Expressions|Rules determining the order in which operators are evaluated in an expression.
BS-AI|1|Programming Fundamental|Logic operations|Operators & Expressions|Boolean operations (AND, OR, NOT) used for conditional evaluation.
BS-AI|1|Programming Fundamental|Basic command-line use|Input/Output Operations|Familiarity with the console interface for running programs and basic commands.
BS-AI|1|Programming Fundamental|Syntax awareness|Input/Output Operations|Understanding the rules and structure of a specific programming language.
BS-AI|1|Programming Fundamental|Repetition concept|Loops (for, while, do-while)|The idea of executing a block of code multiple times.
BS-AI|1|Programming Fundamental|Counters|Loops (for, while, do-while)|Variables used to track the number of times a loop or function has run.
BS-AI|1|Programming Fundamental|Arithmetic logic|Operators & Expressions|The combination of arithmetic and logical operations in a program.
BS-AI|1|Programming Fundamental|Problem decomposition|Functions & Modular Programming|Breaking a large, complex problem into smaller, simpler, independent sub-problems.
BS-AI|1|Programming Fundamental|Parameters|Functions & Modular Programming|Values passed into a function to modify its behavior.
BS-AI|1|Programming Fundamental|Return types|Functions & Modular Programming|The type of value a function outputs after execution.
BS-AI|1|Programming Fundamental|Sequential data|Data Types & Variables|Data organized in an ordered list, accessible by index.
BS-AI|1|Programming Fundamental|Indexing|Arrays & Strings|Using numerical positions to access elements within an array or string.
BS-AI|1|Programming Fundamental|Concept of permanent data storage|File Handling|Understanding how information is saved to non-volatile memory (disk).
BS-AI|1|Programming Fundamental|Stacks and Queues|Arrays and Linked Lists|Abstract data structures used for process management and search algorithms.
BS-AI|1|Programming Fundamental|Memory Management Concepts|Introduction to Pointers / Memory Concepts|General principles of managing primary storage (RAM).
BS-AI|1|Application of ICT|Introduction to ICT Concepts|Basic computer literacy, What hardware/software is|This module builds the essential foundation for digital understanding and defines the scope of information and communication technologies.
BS-AI|1|Application of ICT|Computer Hardware Components|Understanding of CPU, Memory, Storage, Input/output|Knowledge of these components is fundamental for understanding computer architecture and is explicitly needed for the COAL course later.
BS-AI|1|Application of ICT|Software & Operating Systems|Computer Hardware Components|This concept establishes the bridge between application programs and physical resources, directly connecting to the Operating Systems course.
BS-AI|1|Application of ICT|Data Representation & Number Systems|Binary, Octal, Hexadecimal conversion|Understanding these number bases is fundamental for computer organization, assembly language, and all digital logic processes.
BS-AI|1|Application of ICT|Internet, Networking & Communication|Concept of IP, DNS, Protocols|This establishes the basis for data exchange and connectivity, providing necessary context for the specialized Computer Networks course.
BS-AI|1|Application of ICT|Information Systems & Databases|Data Representation & Number Systems, Computer Hardware Components|Understanding how data is organized and managed within an organization leads directly to the core concepts of Database Systems.
BS-AI|1|Application of ICT|Cybersecurity & Ethics|Information Systems & Databases|This module prepares students for managing data responsibly and provides foundational knowledge for the more advanced Information Security course.
BS-AI|1|Application of ICT|Emerging Technologies (AI, IoT, Cloud)|Internet, Networking & Communication|Provides a crucial high-level overview of future AI technologies and industry trends before diving into specifics.
BS-AI|1|Application of ICT|Productivity Tools (Word, Excel, PowerPoint)|Basic computer handling and typing|These practical skills are essential for effective documentation, creating academic reports, and delivering professional project presentations.
BS-AI|1|Application of ICT|Peripheral Devices and Interfacing|Computer Hardware Components, Input/Output Operations|This ensures students understand how external devices communicate and interface with the main computer system.
BS-AI|1|Application of ICT|Cloud Computing Concepts|Internet, Networking & Communication, Emerging Technologies (AI, IoT, Cloud)|Introduces the core concepts of virtualization and scalable computing resources which are widely used in modern ML training and deployment.
BS-AI|1|Application of ICT|Ethics of Data Privacy and Surveillance|Cybersecurity & Ethics, Information Systems & Databases|This crucial discussion covers the moral and legal responsibilities associated with handling large datasets, vital for ethical AI development.
BS-AI|1|Application of ICT|Mobile and Wireless Communication|Internet, Networking & Communication, Data Transmission Basics|Expands on basic networking concepts to include communication over mobile and radio frequency technologies.
BS-AI|1|Application of ICT|Software Licensing and Intellectual Property|Software & Operating Systems, Cybersecurity & Ethics|Understanding the legal framework around software use and avoiding copyright infringement in professional work.
BS-AI|1|Application of ICT|Data Backup and Disaster Recovery|Information Systems & Databases, File Handling|Essential practices for business continuity and protecting valuable data assets from loss or corruption.
BS-AI|1|Application of ICT|Computer Viruses and Malware Types|Cybersecurity & Ethics, Software & Operating Systems|Detailed understanding of different threats and how they affect system integrity and performance.
BS-AI|1|Application of ICT|Ergonomics and Health Issues|Productivity Tools (Word, Excel, PowerPoint), Basic computer usage|Teaches how to use computer technology safely and prevent repetitive strain injuries (RSI).
BS-AI|1|Application of ICT|The Role of Search Engines and Web Browsers|Internet, Networking & Communication, Basic computer usage|Explains the underlying mechanisms used for information retrieval and navigating the World Wide Web.
BS-AI|1|Application of ICT|Basic computer literacy|None|Fundamental skills needed for basic computer operation, document creation, and application use.
BS-AI|1|Application of ICT|What hardware/software is|None|Basic definitions required for all further study in IT and computer organization.
BS-AI|1|Application of ICT|Understanding of CPU|Computer Hardware Components|Detailed understanding of the central processing unit and its function.
BS-AI|1|Application of ICT|Memory|Computer Hardware Components|Understanding volatile memory (RAM) and its role.
BS-AI|1|Application of ICT|Storage|Computer Hardware Components|Understanding non-volatile data retention (disk drives).
BS-AI|1|Application of ICT|Input/output|Computer Hardware Components|The process of communication between a computer and the outside world.
BS-AI|1|Application of ICT|Binary|Data Representation & Number Systems|The base-2 number system, fundamental to digital computing.
BS-AI|1|Application of ICT|Octal|Data Representation & Number Systems|The base-8 number system.
BS-AI|1|Application of ICT|Hexadecimal conversion|Data Representation & Number Systems|The base-16 number system, used for compact addressing.
BS-AI|1|Application of ICT|Concept of IP|Internet, Networking & Communication|The Internet Protocol and addressing scheme.
BS-AI|1|Application of ICT|DNS|Internet, Networking & Communication|The Domain Name System for resolving names to IPs.
BS-AI|1|Application of ICT|Protocols|Internet, Networking & Communication|Formal rules that govern data transmission.
BS-AI|1|Application of ICT|Data Transmission Basics|Data Representation & Number Systems|Fundamental principles of sending information over a channel.
BS-AI|1|Application of ICT|Basic computer handling and typing|None|Physical skills needed for interacting with computer systems.
BS-AI|1|Functional English|Parts of Speech & Grammar Basics|School-level English grammar|These fundamentals are the foundation for professional writing and the analysis of language structure, important for early NLP understanding.
BS-AI|1|Functional English|Sentence Structure & Syntax|Parts of Speech & Grammar Basics|Crucial for writing clear, unambiguous academic reports and understanding the linguistic structure of computer languages.
